Service Name,Port Number,Transport Protocol
swldy-sias,1250,udp
servergraph,1251,udp
bspne-pcc,1252,udp
q55-pcc,1253,udp
de-noc,1254,udp
de-cache-query,1255,udp
de-server,1256,udp
shockwave2,1257,udp
opennl,1258,udp
opennl-voice,1259,udp
ibm-ssd,1260,udp
mpshrsv,1261,udp
qnts-orb,1262,udp
dka,1263,udp
prat,1264,udp
dssiapi,1265,udp
dellpwrappks,1266,udp
epc,1267,udp
propel-msgsys,1268,udp
watilapp,1269,udp
opsmgr,1270,udp
excw,1271,udp
cspmlockmgr,1272,udp
emc-gateway,1273,udp
t1distproc,1274,udp
ivcollector,1275,udp
miva-mqs,1277,udp
dellwebadmin-1,1278,udp
dellwebadmin-2,1279,udp
pictrography,1280,udp
healthd,1281,udp
emperion,1282,udp
productinfo,1283,udp
iee-qfx,1284,udp
neoiface,1285,udp
netuitive,1286,udp
routematch,1287,udp
navbuddy,1288,udp
jwalkserver,1289,udp
winjaserver,1290,udp
seagulllms,1291,udp
dsdn,1292,udp
pkt-krb-ipsec,1293,udp
cmmdriver,1294,udp
ehtp,1295,udp
dproxy,1296,udp
sdproxy,1297,udp
lpcp,1298,udp
hp-sci,1299,udp
h323hostcallsc,1300,udp
sftsrv,1303,udp
boomerang,1304,udp
pe-mike,1305,udp
re-conn-proto,1306,udp
pacmand,1307,udp
odsi,1308,udp
jtag-server,1309,udp
husky,1310,udp
rxmon,1311,udp
sti-envision,1312,udp
bmc-patroldb,1313,udp
bmc_patroldb,1313,udp
pdps,1314,udp
els,1315,udp
exbit-escp,1316,udp
vrts-ipcserver,1317,udp
krb5gatekeeper,1318,udp
amx-icsp,1319,udp
amx-axbnet,1320,udp
pip,1321,udp
novation,1322,udp
brcd,1323,udp
delta-mcp,1324,udp
dx-instrument,1325,udp
wimsic,1326,udp
ultrex,1327,udp
ewall,1328,udp
netdb-export,1329,udp
streetperfect,1330,udp
intersan,1331,udp
pcia-rxp-b,1332,udp
passwrd-policy,1333,udp
writesrv,1334,udp
digital-notary,1335,udp
ischat,1336,udp
menandmice-dns,1337,udp
wmc-log-svc,1338,udp
kjtsiteserver,1339,udp
naap,1340,udp
qubes,1341,udp
esbroker,1342,udp
re101,1343,udp
icap,1344,udp
vpjp,1345,udp
alta-ana-lm,1346,udp
bbn-mmc,1347,udp
bbn-mmx,1348,udp
sbook,1349,udp
editbench,1350,udp
equationbuilder,1351,udp
lotusnote,1352,udp
relief,1353,udp
XSIP-network,1354,udp
intuitive-edge,1355,udp
cuillamartin,1356,udp
pegboard,1357,udp
connlcli,1358,udp
ftsrv,1359,udp
mimer,1360,udp
linx,1361,udp
timeflies,1362,udp
ndm-requester,1363,udp
ndm-server,1364,udp
adapt-sna,1365,udp
netware-csp,1366,udp
dcs,1367,udp
screencast,1368,udp
gv-us,1369,udp
us-gv,1370,udp
fc-cli,1371,udp
fc-ser,1372,udp
chromagrafx,1373,udp
molly,1374,udp
bytex,1375,udp
ibm-pps,1376,udp
cichlid,1377,udp
elan,1378,udp
dbreporter,1379,udp
telesis-licman,1380,udp
apple-licman,1381,udp
udt-os,1382,udp
udt_os,1382,udp
gwha,1383,udp
os-licman,1384,udp
atex-elmd,1385,udp
atex_elmd,1385,udp
checksum,1386,udp
cadsi-lm,1387,udp
objective-dbc,1388,udp
iclpv-dm,1389,udp
iclpv-sc,1390,udp
iclpv-sas,1391,udp
iclpv-pm,1392,udp
iclpv-nls,1393,udp
iclpv-nlc,1394,udp
iclpv-wsm,1395,udp
dvl-activemail,1396,udp
audio-activmail,1397,udp
video-activmail,1398,udp
cadkey-licman,1399,udp
cadkey-tablet,1400,udp
goldleaf-licman,1401,udp
prm-sm-np,1402,udp
prm-nm-np,1403,udp
igi-lm,1404,udp
ibm-res,1405,udp
netlabs-lm,1406,udp
sophia-lm,1408,udp
here-lm,1409,udp
hiq,1410,udp
af,1411,udp
innosys,1412,udp
innosys-acl,1413,udp
ibm-mqseries,1414,udp
dbstar,1415,udp
novell-lu6-2,1416,udp
novell-lu6.2,1416,udp
timbuktu-srv1,1417,udp
timbuktu-srv2,1418,udp
timbuktu-srv3,1419,udp
timbuktu-srv4,1420,udp
gandalf-lm,1421,udp
autodesk-lm,1422,udp
essbase,1423,udp
hybrid,1424,udp
zion-lm,1425,udp
sais,1426,udp
mloadd,1427,udp
informatik-lm,1428,udp
nms,1429,udp
tpdu,1430,udp
rgtp,1431,udp
blueberry-lm,1432,udp
ms-sql-s,1433,udp
ms-sql-m,1434,udp
ibm-cics,1435,udp
saism,1436,udp
tabula,1437,udp
eicon-server,1438,udp
eicon-x25,1439,udp
eicon-slp,1440,udp
cadis-1,1441,udp
cadis-2,1442,udp
ies-lm,1443,udp
marcam-lm,1444,udp
proxima-lm,1445,udp
ora-lm,1446,udp
apri-lm,1447,udp
oc-lm,1448,udp
peport,1449,udp
dwf,1450,udp
infoman,1451,udp
gtegsc-lm,1452,udp
genie-lm,1453,udp
interhdl-elmd,1454,udp
interhdl_elmd,1454,udp
esl-lm,1455,udp
dca,1456,udp
valisys-lm,1457,udp
nrcabq-lm,1458,udp
proshare1,1459,udp
proshare2,1460,udp
ibm-wrless-lan,1461,udp
ibm_wrless_lan,1461,udp
world-lm,1462,udp
nucleus,1463,udp
msl-lmd,1464,udp
msl_lmd,1464,udp
pipes,1465,udp
oceansoft-lm,1466,udp
csdmbase,1467,udp
csdm,1468,udp
aal-lm,1469,udp
uaiact,1470,udp
csdmbase,1471,udp
csdm,1472,udp
openmath,1473,udp
telefinder,1474,udp
taligent-lm,1475,udp
clvm-cfg,1476,udp
ms-sna-server,1477,udp
ms-sna-base,1478,udp
dberegister,1479,udp
pacerforum,1480,udp
airs,1481,udp
miteksys-lm,1482,udp
afs,1483,udp
confluent,1484,udp
lansource,1485,udp
nms-topo-serv,1486,udp
nms_topo_serv,1486,udp
localinfosrvr,1487,udp
docstor,1488,udp
dmdocbroker,1489,udp
insitu-conf,1490,udp
stone-design-1,1492,udp
netmap-lm,1493,udp
netmap_lm,1493,udp
ica,1494,udp
cvc,1495,udp
liberty-lm,1496,udp
rfx-lm,1497,udp
sybase-sqlany,1498,udp
fhc,1499,udp
vlsi-lm,1500,udp
saiscm,1501,udp
shivadiscovery,1502,udp
imtc-mcs,1503,udp
evb-elm,1504,udp
funkproxy,1505,udp
utcd,1506,udp
symplex,1507,udp
diagmond,1508,udp
robcad-lm,1509,udp
mvx-lm,1510,udp
3l-l1,1511,udp
wins,1512,udp
fujitsu-dtc,1513,udp
fujitsu-dtcns,1514,udp
ifor-protocol,1515,udp
vpad,1516,udp
vpac,1517,udp
vpvd,1518,udp
vpvc,1519,udp
atm-zip-office,1520,udp
ncube-lm,1521,udp
ricardo-lm,1522,udp
cichild-lm,1523,udp
ingreslock,1524,udp
orasrv,1525,udp
prospero-np,1525,udp
pdap-np,1526,udp
tlisrv,1527,udp
norp,1528,udp
